gender,workload,study_hours,confidence,stress,days_to_deadline,risk
male,6,4.8,6.5,7.2,23,high
male,4,17.5,5.1,6.5,13,medium
male,4,16.9,4.5,5.5,44,low
non-binary,2,16.2,9.3,8.2,1,medium
male,1,11.5,6.2,8.5,51,medium
female,3,18.4,7.0,7.5,29,low
female,1,8.2,7.7,3.4,24,low
female,4,17.9,6.3,3.5,16,low
female,2,10.3,6.5,8.3,25,low
female,5,9.1,3.8,1.0,55,medium
female,2,13.9,4.2,5.1,23,low
male,4,14.0,4.1,6.6,28,low
female,2,9.8,7.2,1.1,47,low
male,2,6.7,6.1,6.1,16,low
male,4,13.9,4.2,7.9,43,medium
female,6,3.4,7.2,1.8,56,medium
male,2,7.4,7.1,9.6,38,low
non-binary,3,13.0,4.6,3.0,11,low
non-binary,3,5.6,5.9,6.9,3,medium
non-binary,2,10.6,7.1,5.3,15,low
male,6,13.6,4.3,5.7,1,high
male,5,9.2,7.1,2.3,7,medium
non-binary,4,8.5,6.6,8.7,1,high
male,3,7.5,4.0,6.3,49,medium
non-binary,5,12.0,6.4,9.6,32,high
non-binary,2,19.5,6.7,2.4,9,low
female,5,8.8,4.7,5.0,29,high
male,1,4.8,4.9,6.0,26,low
male,3,15.4,4.0,5.7,23,low
female,2,13.5,5.1,7.2,45,low
male,4,27.5,6.0,5.0,43,low
male,6,16.4,4.9,10.0,29,high
female,2,7.2,3.0,5.6,52,medium
non-binary,4,6.1,4.6,1.0,38,medium
female,6,7.5,5.2,5.7,33,medium
female,6,22.6,7.6,8.7,7,high
male,2,14.5,7.2,3.2,12,low
female,5,16.4,7.7,3.0,31,low
non-binary,5,15.6,4.5,3.4,32,low
male,6,17.3,6.3,2.8,54,medium
female,5,6.3,1.2,4.3,20,high
female,1,10.1,6.9,7.8,55,low
female,6,11.9,7.2,9.3,51,high
female,6,16.7,5.3,1.0,17,medium
female,4,11.9,6.6,4.6,36,low
male,5,14.8,3.0,6.3,3,high
male,6,10.1,4.4,6.0,1,high
female,1,11.5,7.5,10.0,50,low
female,4,8.1,7.0,1.0,27,low
female,2,6.8,5.2,1.0,53,low
non-binary,6,13.5,7.6,10.0,47,high
female,1,8.0,6.3,7.4,40,low
female,3,6.9,5.0,4.1,33,medium
female,1,8.8,5.6,5.9,20,low
female,1,2.1,5.1,6.1,14,low
female,4,10.8,3.6,4.0,36,medium
female,2,12.7,8.5,5.9,5,medium
female,3,6.9,4.9,6.4,23,high
male,5,9.4,4.3,10.0,45,high
male,5,13.0,2.9,7.9,60,high
male,1,6.9,1.0,9.8,56,medium
female,4,21.3,7.4,2.1,15,low
male,4,19.0,7.6,4.6,6,low
female,5,14.6,8.4,6.1,33,medium
female,3,15.3,5.7,1.0,55,low
male,2,10.1,5.4,8.5,19,low
female,3,9.1,5.0,7.1,13,medium
male,6,26.6,5.2,4.6,29,low
male,6,11.7,8.2,5.0,6,medium
female,2,9.3,5.9,8.6,15,low
male,5,6.5,6.8,3.5,16,medium
male,2,11.6,5.1,8.7,24,low
female,4,12.0,8.6,4.9,23,low
female,6,11.5,2.2,7.4,48,high
male,1,15.2,3.6,5.7,10,low
female,1,9.5,6.8,10.0,54,medium
male,5,21.3,9.5,3.3,41,low
male,4,8.1,5.5,4.1,41,low
female,3,8.7,4.3,1.7,49,low
female,4,9.2,8.0,2.8,17,low
female,1,9.9,6.6,7.3,49,low
female,1,7.5,8.6,9.5,56,medium
non-binary,6,3.3,3.4,7.6,44,high
female,4,7.3,8.4,5.5,45,low
male,4,15.0,2.9,3.3,30,medium
female,1,5.4,5.4,7.7,44,low
male,3,14.8,6.8,3.1,46,low
male,5,26.9,6.4,2.1,10,low
male,5,20.0,8.1,4.7,55,low
male,4,12.1,2.3,1.0,19,low
non-binary,5,8.5,6.3,2.0,29,medium
female,1,8.9,8.4,10.0,2,medium
female,1,11.9,6.1,1.6,36,low
male,4,15.1,3.7,2.5,19,low
male,4,16.6,8.0,5.7,7,low
male,6,24.6,4.7,5.8,26,medium
male,4,28.3,4.4,4.9,15,low
female,3,13.7,4.1,1.0,47,medium
female,5,7.6,5.6,7.6,56,medium
female,4,15.0,6.4,4.4,38,low
male,2,5.7,3.5,8.6,3,high
non-binary,6,6.4,3.9,3.9,38,medium
female,2,18.8,4.6,8.0,16,medium
female,1,14.2,4.1,8.7,2,high
female,5,12.8,6.1,4.3,31,medium
male,4,24.4,6.7,7.7,28,low
male,2,13.8,6.4,2.2,7,low
male,5,12.2,6.5,6.2,30,medium
female,1,10.4,9.3,8.6,43,medium
male,3,8.2,6.8,6.8,58,low
male,6,13.8,7.6,10.0,7,high
male,5,10.2,5.2,6.9,36,high
male,5,5.1,7.9,4.6,29,medium
female,3,12.1,5.1,10.0,24,medium
female,5,10.7,6.8,9.6,52,high
female,1,18.8,3.3,1.5,39,low
male,1,2.2,6.3,3.5,4,medium
female,3,14.8,4.0,2.9,29,medium
female,6,10.8,7.9,7.1,44,medium
male,4,4.4,7.8,6.9,5,medium
male,2,11.7,5.1,6.9,55,low
male,4,8.3,10.0,1.4,29,low
female,5,8.0,5.4,3.9,30,low
female,2,14.4,2.8,5.1,29,low
male,3,16.0,4.4,1.0,26,low
male,3,14.3,3.9,3.3,19,low
female,6,10.3,6.8,8.9,26,high
female,2,13.5,3.5,1.6,37,low
female,1,14.3,4.9,9.1,27,medium
female,2,21.9,6.6,8.2,30,low
male,5,9.8,6.3,4.8,51,medium
male,1,12.9,6.0,3.9,53,low
female,3,18.2,6.3,7.6,30,low
male,2,17.0,5.3,3.5,3,low
female,4,2.8,2.8,3.7,59,medium
non-binary,6,8.4,5.2,5.4,58,medium
female,4,13.9,6.9,1.0,43,low
male,6,6.8,5.7,1.9,7,medium
female,5,6.9,6.8,4.7,49,medium
female,4,11.0,4.8,6.7,57,high
female,2,14.9,8.0,3.5,9,low
non-binary,2,7.3,1.0,5.0,53,medium
male,4,12.4,6.3,1.5,41,low
non-binary,2,3.8,8.7,7.8,42,medium
non-binary,5,8.7,9.0,6.1,13,high
male,1,19.8,5.5,6.3,15,low
male,5,3.3,3.3,6.7,54,high
male,6,14.0,8.7,5.7,5,high
male,5,15.2,5.9,4.3,29,medium
male,6,13.7,5.7,8.3,35,high
female,2,6.7,4.2,5.9,27,low
male,1,14.1,3.5,5.1,27,low
male,2,24.0,7.1,5.5,8,low
female,3,10.0,7.3,5.4,32,low
male,2,12.0,6.4,5.1,20,low
female,6,9.3,4.5,6.6,10,high
male,2,18.6,3.9,3.2,13,low
male,2,11.7,3.1,3.3,29,low
female,1,17.7,4.9,6.9,35,low
female,2,15.9,4.0,5.1,54,low
female,1,4.1,2.6,7.9,8,medium
female,4,4.7,7.3,6.5,29,medium
female,3,6.5,3.4,4.1,31,medium
male,1,7.7,8.0,6.9,41,low
male,6,19.5,6.8,8.5,30,medium
female,4,7.9,6.6,6.6,22,medium
female,1,10.7,9.3,7.2,21,low
non-binary,1,17.4,3.4,5.1,12,low
male,3,2.6,7.7,8.0,11,high
male,6,10.0,5.4,4.0,2,medium
female,5,8.1,10.0,6.3,50,medium
male,5,17.8,5.2,10.0,41,medium
non-binary,1,10.1,4.9,6.8,2,medium
female,2,18.7,6.9,4.4,34,low
male,6,6.6,5.6,4.4,3,high
female,4,14.8,4.5,5.3,16,low
female,2,21.1,4.1,7.6,51,low
male,2,6.8,8.9,5.9,4,low
non-binary,6,6.5,3.7,3.9,23,medium
female,1,15.6,6.4,3.9,57,low
female,1,7.2,8.1,5.9,50,low
male,1,5.1,8.2,5.6,20,low
female,1,3.6,4.8,6.6,25,low
male,5,11.8,5.6,7.8,30,high
male,1,3.7,5.2,10.0,18,medium
non-binary,5,9.4,2.9,1.8,42,high
male,5,12.0,7.1,7.2,11,medium
male,1,6.0,6.1,5.7,29,low
non-binary,3,5.4,8.9,1.0,17,low
non-binary,4,10.0,4.4,8.6,26,high
female,2,9.5,8.2,6.6,56,low
female,5,12.3,8.3,7.5,57,high
male,6,9.9,6.1,1.3,23,medium
male,6,10.6,1.7,4.9,56,high
male,4,15.1,5.0,2.8,52,low
female,6,5.8,9.6,10.0,48,high
female,3,15.8,6.6,8.4,20,low
female,6,18.9,7.4,3.8,45,medium
female,2,10.0,5.8,1.7,2,medium
male,2,3.1,5.6,6.0,24,medium
female,5,8.9,2.3,8.2,31,high
male,1,12.8,7.6,1.2,27,low
female,3,11.3,8.2,3.2,2,medium
male,5,37.8,4.1,2.7,57,low
female,3,2.3,5.6,7.7,14,medium
male,1,20.7,5.4,4.6,4,low
male,6,13.6,6.8,4.7,49,medium
male,6,9.3,4.9,5.9,13,high
female,1,4.5,7.9,3.3,36,low
female,5,17.9,6.1,1.9,35,low
male,1,9.9,1.0,8.9,44,medium
male,4,8.5,6.9,9.2,54,medium
female,2,11.2,8.0,5.9,55,low
male,5,11.6,3.7,6.1,8,high
female,3,5.4,6.8,8.7,2,high
female,4,8.7,9.7,5.9,6,medium
male,5,17.9,6.2,4.5,31,medium
male,1,10.0,8.3,5.6,54,low
non-binary,1,7.6,5.1,9.0,10,low
male,1,9.7,6.0,5.6,44,low
male,1,12.0,5.6,3.8,21,low
female,3,10.8,5.2,5.9,42,low
non-binary,4,12.6,5.7,7.1,10,low
non-binary,6,9.1,2.7,6.8,23,high
female,2,10.8,5.3,6.9,3,low
male,3,9.5,8.7,3.4,32,low
male,3,13.4,4.1,7.4,20,low
female,6,11.2,3.9,5.6,10,high
female,6,4.9,6.1,3.7,29,medium
male,2,13.3,6.2,7.4,41,low
non-binary,2,13.4,6.8,4.4,52,low
male,6,32.0,5.8,1.6,51,low
female,1,25.6,6.1,3.0,46,low
male,3,14.1,5.3,5.0,34,low
female,5,10.3,3.4,6.9,37,medium
male,2,7.3,5.9,3.3,20,low
male,2,11.7,7.4,4.9,8,low
male,6,6.7,7.0,2.5,7,medium
female,4,17.9,2.5,8.0,6,high
female,5,3.0,6.5,9.8,11,high
female,5,16.1,4.2,9.5,44,high
non-binary,2,32.8,8.8,7.9,18,low
male,1,28.6,6.7,7.7,51,low
male,4,6.3,7.8,1.0,42,medium
female,5,4.6,6.0,5.9,57,medium
male,2,21.4,5.9,4.3,29,low
non-binary,5,15.0,9.0,7.7,25,medium
male,4,10.1,7.9,1.0,21,low
non-binary,4,15.7,6.2,6.0,46,low
male,3,6.6,5.6,5.0,3,medium
female,6,15.1,2.6,8.3,18,high
female,6,5.7,6.6,9.4,24,high
non-binary,2,15.7,5.7,3.2,47,low
male,4,9.2,7.1,3.3,38,medium
female,3,12.6,7.7,6.1,10,low
non-binary,3,12.8,8.5,9.8,27,medium
female,5,26.6,6.7,5.7,12,low
female,5,14.4,3.9,2.3,7,high
female,3,18.3,1.7,4.0,17,medium
female,5,14.2,4.4,6.0,1,high
female,4,10.6,8.7,6.1,58,medium
female,1,9.7,9.6,3.7,50,low
non-binary,4,9.6,5.5,3.9,26,low
male,3,15.5,3.1,3.0,15,low
male,3,22.9,4.7,8.4,51,low
non-binary,4,23.3,8.3,3.4,60,low
female,5,9.5,4.8,4.3,33,medium
female,5,17.0,7.2,4.3,37,low
female,6,8.5,6.3,1.5,47,medium
male,3,20.5,7.4,3.3,31,low
male,2,8.9,9.6,8.6,35,medium
female,6,21.8,7.2,2.5,1,medium
male,5,16.7,6.3,3.1,8,low
female,4,8.9,9.9,2.2,12,low
male,5,17.8,6.7,5.3,59,low
non-binary,4,9.7,4.4,10.0,54,high
non-binary,6,40.0,7.4,5.2,57,low
female,3,10.7,6.9,5.7,19,low
female,5,11.0,5.4,3.5,25,medium
male,4,2.0,5.0,5.3,57,low
female,3,13.4,5.4,8.6,32,medium
female,2,5.0,4.9,5.9,12,medium
male,4,17.6,5.5,10.0,13,medium
non-binary,6,6.2,4.3,8.6,28,high
female,2,22.0,6.8,5.3,1,low
non-binary,2,11.5,6.6,5.2,51,low
female,1,16.3,6.7,9.6,6,low
female,5,14.4,5.9,5.8,8,medium
male,4,25.6,5.6,9.0,4,medium
non-binary,2,3.1,8.9,10.0,5,high
female,1,8.4,6.1,5.0,25,low
male,6,14.6,8.5,6.4,22,medium
male,3,4.8,4.0,8.0,28,high
male,4,21.6,7.2,7.4,39,low
female,2,15.1,4.5,7.4,23,low
non-binary,5,9.4,4.9,2.2,4,high
male,1,12.9,5.2,3.4,52,low
female,2,2.7,5.1,4.3,4,low
male,5,8.3,5.1,8.5,47,high
non-binary,2,2.9,8.4,2.4,59,low
female,4,9.0,6.1,9.3,21,medium
female,4,3.5,6.5,7.4,37,medium
female,4,9.8,5.1,8.4,56,medium
male,6,2.2,7.7,3.2,41,low
male,6,11.6,6.7,5.7,2,high
male,1,18.8,5.4,6.2,59,low
female,4,2.9,2.8,6.1,7,high
female,5,14.5,6.4,6.2,49,high
non-binary,2,18.8,7.2,4.8,16,low
non-binary,3,25.3,4.0,5.8,17,low
female,5,6.6,5.4,8.1,20,high
female,6,8.3,7.1,2.6,58,medium
non-binary,6,19.4,2.9,9.4,23,high
female,5,7.1,4.7,8.0,34,high
male,6,22.0,6.8,3.1,11,low
female,4,8.4,8.2,6.5,34,medium
male,1,22.0,10.0,7.8,33,low
non-binary,2,8.3,9.9,2.4,26,low
female,1,29.5,6.3,5.6,2,low
male,2,21.0,5.0,5.3,23,low
female,2,10.8,7.8,3.9,41,low
female,1,26.2,4.9,5.7,22,low
male,5,11.1,4.5,4.0,58,medium
male,2,13.4,5.4,8.9,34,low
female,1,18.5,5.1,3.9,60,low
female,2,15.6,6.8,7.5,15,low
female,3,18.0,4.8,1.4,10,medium
female,5,12.9,6.2,5.1,15,medium
female,4,9.6,9.2,5.5,42,low
female,2,13.2,6.2,5.0,29,low
female,3,17.1,9.0,4.5,57,low
female,4,18.4,8.4,3.8,23,low
male,4,9.5,7.2,7.4,59,medium
male,2,13.1,5.3,8.0,17,medium
male,1,18.2,8.1,5.3,60,low
female,2,40.0,5.5,2.8,9,low
female,3,9.2,6.0,10.0,50,medium
female,4,10.9,6.7,3.3,36,medium
male,2,5.0,6.0,1.9,9,low
male,1,10.5,4.6,1.0,16,low
male,2,13.2,2.9,5.7,36,low
male,5,11.2,7.9,5.0,48,medium
female,1,7.2,7.1,8.1,51,low
male,3,10.5,2.6,7.0,33,medium
male,4,6.7,4.5,6.2,55,high
non-binary,2,21.7,6.4,4.8,31,low
male,1,14.7,6.9,8.3,6,medium
female,5,9.9,3.0,10.0,10,high
female,1,8.9,5.8,8.0,16,medium
male,6,18.2,7.1,4.3,4,medium
female,5,4.0,5.3,7.5,54,medium
female,3,25.1,6.5,4.5,22,low
non-binary,4,20.6,5.0,2.7,13,low
male,3,5.7,7.8,3.3,16,low
non-binary,2,15.3,4.4,4.6,52,low
female,1,6.5,3.7,5.8,29,low
male,6,5.6,6.1,10.0,6,high
female,5,4.1,3.1,3.3,26,medium
non-binary,5,5.2,1.8,8.8,11,high
female,1,26.8,8.2,4.7,24,low
male,6,22.9,4.0,1.0,29,low
female,1,12.5,3.3,4.2,3,medium
male,2,7.0,4.4,8.4,52,high
male,3,22.1,4.3,6.4,10,low
male,5,18.1,5.7,6.5,60,low
male,2,12.7,3.8,8.8,1,high
male,3,13.3,7.0,2.9,52,low
male,2,23.1,7.3,2.9,43,low
female,6,3.5,3.5,1.0,26,high
male,5,2.9,4.8,7.7,58,high
male,1,23.3,5.0,6.9,12,medium
female,1,31.6,5.7,7.3,14,low
female,3,11.9,8.2,2.5,25,low
female,4,4.3,8.3,1.5,8,low
male,6,17.0,10.0,2.2,43,medium
male,3,5.1,1.5,3.2,4,high
male,4,14.9,4.2,9.4,28,high
male,2,14.3,9.6,8.0,7,medium
male,6,15.3,2.4,4.4,10,high
male,2,15.5,9.6,6.2,51,low
male,5,9.9,6.3,3.8,57,medium
male,6,4.5,6.4,6.4,58,medium
female,4,17.6,3.4,2.7,36,low
male,5,13.2,5.1,7.4,2,high
male,1,11.4,9.5,3.4,26,low
female,4,4.7,5.9,7.5,53,medium
female,3,7.6,5.1,4.4,50,low
male,1,12.7,6.8,3.5,14,low
female,1,31.9,5.6,9.5,58,low
female,3,5.5,6.7,5.9,16,low
male,6,9.4,4.3,4.7,54,medium
female,1,18.6,5.8,7.4,43,low
non-binary,4,6.1,4.7,2.2,42,medium
male,5,18.7,2.4,8.3,17,high
male,1,3.7,7.0,5.2,46,low
female,4,4.4,3.5,7.0,22,medium
female,2,20.7,5.7,1.6,4,low
male,4,16.3,7.9,4.5,19,low
male,5,23.5,3.0,5.5,2,high
male,4,25.7,7.2,8.1,39,medium
female,3,21.1,5.4,7.2,9,low
female,5,4.4,4.1,4.5,60,medium
male,6,9.4,10.0,6.3,19,high
female,2,2.0,6.0,8.6,16,medium
female,3,11.0,4.9,5.0,54,low
male,6,15.6,4.4,4.7,25,high
male,4,17.3,7.8,1.0,48,low
female,5,9.1,4.8,4.8,18,medium
female,2,8.3,7.5,1.2,23,low
female,3,11.9,6.0,5.2,53,low
female,6,11.6,8.2,8.0,21,high
male,6,7.2,3.9,1.0,11,high
male,2,5.0,4.2,8.6,39,high
female,4,8.9,5.4,4.7,41,medium
male,2,15.1,5.6,5.4,4,low
male,6,10.6,5.3,4.2,25,low
male,1,3.1,10.0,1.2,32,low
male,3,2.9,10.0,3.5,30,low
male,2,13.7,6.6,10.0,45,medium
male,6,11.8,6.8,2.8,59,low
male,4,13.8,5.5,1.5,26,low
male,6,18.1,3.9,5.9,57,medium
female,4,12.2,5.6,5.3,36,low
female,2,6.9,7.5,4.7,51,low
female,4,12.0,8.6,5.5,34,low
female,5,10.4,8.0,7.1,9,high
female,5,16.5,3.0,4.0,12,high
male,5,23.4,5.4,6.0,2,high
female,1,6.1,3.1,8.1,38,medium
female,2,22.0,8.3,3.0,5,low
female,6,9.6,5.2,1.0,5,medium
male,6,9.3,5.9,7.2,52,medium
male,1,23.2,7.0,10.0,22,low
male,4,21.2,10.0,5.5,5,low
male,1,9.1,6.5,6.0,59,low
female,4,6.7,5.5,4.8,4,medium
female,4,15.7,3.5,9.5,9,medium
male,3,12.9,8.9,5.3,29,low
non-binary,6,8.9,5.6,5.0,22,medium
female,5,20.9,9.3,7.8,27,low
male,4,10.4,8.2,4.3,10,low
male,3,7.1,5.1,2.3,16,low
male,6,14.4,3.2,7.7,42,high
male,5,5.4,6.5,4.0,42,medium
male,4,8.6,4.8,3.1,51,low
male,4,18.5,6.1,10.0,10,medium
male,1,12.2,8.1,5.1,6,low
male,1,12.7,2.7,6.7,49,medium
female,6,8.4,6.5,5.6,5,medium
male,5,9.5,7.5,3.3,58,medium
female,4,5.9,7.6,7.2,6,medium
male,6,13.2,3.3,6.3,59,high
